rank,player-name,year signed,age,year 2,value,average/year
2,Christian McCaffrey,2020-2025 (FA: 2026),23,4,"$64,063,500","$16,015,875"
1,Alvin Kamara,2020-2025 (FA: 2026),25,5,"$75,000,000","$15,000,000"
3,Dalvin Cook,2020-2025 (FA: 2026),25,5,"$63,000,000","$12,600,000"
4,Derrick Henry,2020-2023 (FA: 2024),26,4,"$50,000,000","$12,500,000"
5,Joe Mixon,2020-2024 (FA: 2025),24,4,"$48,000,000","$12,000,000"
11,Derrick Henry,2020-2020 (FA: 2021),26,1,"$10,278,000","$10,278,000"
14,Kenyan Drake,2020-2020 (FA: 2021),25,1,"$8,483,000","$8,483,000"
8,Melvin Gordon,2020-2021 (FA: 2022),26,2,"$16,000,000","$8,000,000"
6,Austin Ekeler,2020-2023 (FA: 2024),24,4,"$24,500,000","$6,125,000"
9,Kareem Hunt,2020-2022 (FA: 2023),24,2,"$12,000,000","$6,000,000"
7,Tarik Cohen,2020-2023 (FA: 2024),25,3,"$17,250,000","$5,750,000"
19,Todd Gurley,2020-2020 (FA: 2021),25,1,"$5,500,000","$5,500,000"
12,Jordan Howard,2020-2021 (FA: 2022),25,2,"$9,750,000","$4,875,000"
16,Jalen Richard,2020-2021 (FA: 2022),26,2,"$7,000,000","$3,500,000"
35,Kareem Hunt,2020-2020 (FA: 2021),24,1,"$3,259,000","$3,259,000"
35,Matt Breida,2020-2020 (FA: 2021),25,1,"$3,259,000","$3,259,000"
37,Rex Burkhead,2020-2020 (FA: 2021),30,1,"$3,000,000","$3,000,000"
39,Carlos Hyde,2020-2020 (FA: 2021),29,1,"$2,750,000","$2,750,000"
10,Clyde Edwards-Helaire,2020-2024 (FA: 2025),21,4,"$10,821,570","$2,705,393"
13,D'Andre Swift,2020-2023 (FA: 2024),21,4,"$8,538,914","$2,134,729"
75,Brian Hill,2020-2020 (FA: 2021),24,1,"$2,133,000","$2,133,000"
76,Leonard Fournette,2020-2020 (FA: 2021),25,1,"$2,000,000","$2,000,000"
15,Jonathan Taylor,2020-2023 (FA: 2024),21,4,"$7,829,150","$1,957,288"
77,Taiwan Jones,2020-2020 (FA: 2021),31,1,"$1,750,000","$1,750,000"
34,J.D. McKissic,2020-2021 (FA: 2022),26,2,"$3,270,000","$1,635,000"
80,Dion Lewis,2020-2020 (FA: 2021),29,1,"$1,550,000","$1,550,000"
17,Cam Akers,2020-2023 (FA: 2024),21,4,"$6,173,035","$1,543,259"
37,Peyton Barber,2020-2021 (FA: 2022),26,2,"$3,000,000","$1,500,000"
18,JK Dobbins,2020-2023 (FA: 2024),21,4,"$5,729,436","$1,432,359"
87,Chris Thompson,2020-2020 (FA: 2021),29,1,"$1,400,000","$1,400,000"
105,Devonta Freeman,2020-2020 (FA: 2021),28,1,"$1,350,000","$1,350,000"
20,A.J. Dillon,2020-2023 (FA: 2024),22,4,"$5,285,830","$1,321,458"
21,Antonio Gibson,2020-2023 (FA: 2024),22,4,"$4,932,636","$1,233,159"
22,Ke'Shawn Vaughn,2020-2023 (FA: 2024),23,4,"$4,755,997","$1,188,999"
